Player,Group,Team,Matches,Inns,Overs,Runs,Wkts,BBF,Mdns,Dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb
Tuan Mohamed Dilshan Rajudeen,B,Bonn CC,3,3,25,136,8,18/ 4,2,96,5.44,17,18.8,0,1,0,18,1
Ramesh Babu Chintha,B,Bonn CC,4,3,23.4,130,8,61/ 4,2,98,5.49,16.25,17.8,0,1,0,22,1
Ishara Umesh Ranaroll,B,Bonn CC,4,3,15,59,5,33/ 5,2,59,3.93,11.8,18,0,0,1,4,0
Kaushik Ameer,B,Bonn CC,4,4,22.2,70,4,9/ 2,7,108,3.13,17.5,33.5,0,0,0,10,0
Santhoshkumar Sundararaj,B,Bonn CC,2,2,10,58,3,28/ 2,0,35,5.8,19.33,20,0,0,0,7,0
Kawsar Khan,B,Bonn CC,5,3,16.3,110,3,17/ 1,0,51,6.67,36.67,33,0,0,0,8,0
Shihan Samsudeen,B,Bonn CC,4,3,16.2,67,2,27/ 2,1,67,4.1,33.5,49,0,0,0,18,0
Pradyumna Heddur Nagendra,B,Bonn CC,3,1,4,21,1,21/ 1,0,19,5.25,21,24,0,0,0,5,0
